Time (s),Temperature (C),Cooling Power (W)
691.0,-9.83572483815809,100.0
692.0,-9.884341265674273,100.0
693.0,-9.932952831547706,100.0
694.0,-9.98155953626455,100.0
695.0,-10.030161380310924,100.0
696.0,-10.078758364172893,100.0
697.0,-10.127350488336475,100.0
698.0,-10.175937753287641,100.0
699.0,-10.224520159512313,100.0
700.0,-10.273097707496362,100.0
701.0,-10.321670397725612,100.0
702.0,-10.370238230685839,100.0
703.0,-10.41880120686277,100.0
704.0,-10.467359326742084,100.0
705.0,-10.51591259080941,100.0
706.0,-10.56446099955033,100.0
707.0,-10.613004553450374,100.0
708.0,-10.66154325299503,100.0
709.0,-10.71007709866973,100.0
710.0,-10.758606090959864,100.0
711.0,-10.807130230350769,100.0
712.0,-10.855649517327734,100.0
713.0,-10.904163952376,100.0
714.0,-10.952673535980763,100.0
715.0,-11.001178268627164,100.0
716.0,-11.049678150800302,100.0
717.0,-11.098173182985223,100.0
718.0,-11.146663365666925,100.0
719.0,-11.195148699330359,100.0
720.0,-11.243629184460426,100.0
721.0,-11.29210482154198,100.0
722.0,-11.340575611059826,100.0
723.0,-11.38904155349872,100.0
724.0,-11.43750264934337,100.0
725.0,-11.485958899078437,100.0
726.0,-11.53441030318853,100.0
727.0,-11.582856862158211,100.0
728.0,-11.631298576471995,100.0
729.0,-11.679735446614348,100.0
730.0,-11.728167473069687,100.0
731.0,-11.77659465632238,100.0
732.0,-11.825016996856748,100.0
733.0,-11.873434495157062,100.0
734.0,-11.921847151707546,100.0
735.0,-11.970254966992375,100.0
736.0,-12.018657941495675,100.0
737.0,-12.067056075701526,100.0
738.0,-12.115449370093955,100.0
739.0,-12.163837825156946,100.0
740.0,-12.21222144137443,100.0
741.0,-12.260600219230293,100.0
742.0,-12.30897415920837,100.0
743.0,-12.35734326179245,100.0
744.0,-12.40570752746627,100.0
745.0,-12.454066956713524,100.0
746.0,-12.502421550017852,100.0
747.0,-12.55077130786285,100.0
748.0,-12.599116230732063,100.0
749.0,-12.64745631910899,100.0
750.0,-12.695791573477079,100.0
751.0,-12.744121994319732,100.0
752.0,-12.7924475821203,100.0
753.0,-12.840768337362087,100.0
754.0,-12.889084260528351,100.0
755.0,-12.937395352102298,100.0
756.0,-12.985701612567087,100.0
757.0,-13.03400304240583,100.0
758.0,-13.08229964210159,100.0
759.0,-13.130591412137381,100.0
760.0,-13.178878352996167,100.0
761.0,-13.227160465160868,100.0
762.0,-13.275437749114351,100.0
763.0,-13.32371020533944,100.0
764.0,-13.371977834318907,100.0
765.0,-13.420240636535475,100.0
766.0,-13.468498612471821,100.0
767.0,-13.516751762610573,100.0
768.0,-13.565000087434312,100.0
769.0,-13.613243587425568,100.0
770.0,-13.661482263066826,100.0
771.0,-13.70971611484052,100.0
772.0,-13.757945143229035,100.0
773.0,-13.806169348714713,100.0
774.0,-13.854388731779842,100.0
775.0,-13.902603292906663,100.0
776.0,-13.950813032577372,100.0
777.0,-13.999017951274114,100.0
778.0,-14.047218049478987,100.0
779.0,-14.09541332767404,100.0
780.0,-14.143603786341272,100.0
781.0,-14.191789425962638,100.0
782.0,-14.239970247020041,100.0
783.0,-14.28814624999534,100.0
784.0,-14.33631743537034,100.0
785.0,-14.384483803626804,100.0
786.0,-14.432645355246441,100.0
787.0,-14.480802090710917,100.0
788.0,-14.528954010501845,100.0
789.0,-14.577101115100795,100.0
790.0,-14.625243404989286,100.0
791.0,-14.673380880648788,100.0
792.0,-14.721513542560723,100.0
793.0,-14.769641391206466,100.0
794.0,-14.817764427067345,100.0
795.0,-14.86588265062464,100.0
796.0,-14.913996062359576,100.0
797.0,-14.96210466275334,100.0
798.0,-15.010208452287065,100.0
799.0,-15.058307431441836,100.0
800.0,-15.106401600698693,100.0
801.0,-15.154490960538622,100.0
802.0,-15.202575511442568,100.0
803.0,-15.250655253891424,100.0
804.0,-15.298730188366035,100.0
805.0,-15.346800315347197,100.0
806.0,-15.394865635315663,100.0
807.0,-15.44292614875213,100.0
808.0,-15.490981856137255,100.0
809.0,-15.539032757951642,100.0
810.0,-15.587078854675847,100.0
811.0,-15.63512014679038,100.0
812.0,-15.6831566347757,100.0
813.0,-15.731188319112222,100.0
814.0,-15.77921520028031,100.0
815.0,-15.827237278760283,100.0
816.0,-15.875254555032406,100.0
817.0,-15.923267029576902,100.0
818.0,-15.971274702873945,100.0
819.0,-16.019277575403656,100.0
820.0,-16.067275647646117,100.0
821.0,-16.115268920081352,100.0
822.0,-16.163257393189344,100.0
823.0,-16.211241067450025,100.0
824.0,-16.25921994334328,100.0
825.0,-16.307194021348945,100.0
826.0,-16.35516330194681,100.0
827.0,-16.403127785616615,100.0
828.0,-16.451087472838054,100.0
829.0,-16.49904236409077,100.0
830.0,-16.54699245985436,100.0
831.0,-16.594937760608374,100.0
832.0,-16.642878266832312,100.0
833.0,-16.69081397900563,100.0
834.0,-16.738744897607727,100.0
835.0,-16.786671023117968,100.0
836.0,-16.834592356015655,100.0
837.0,-16.882508896780053,100.0
838.0,-16.930420645890376,100.0
839.0,-16.978327603825786,100.0
840.0,-17.026229771065402,100.0
841.0,-17.074127148088294,100.0
